driverRef,driverId,is_new
albon,848,False
alonso,4,False
antonelli,863,True
arvid_lindblad,864,True
bearman,860,False
bortoleto,865,True
bottas,822,False
colapinto,861,False
doohan,862,False
gasly,842,False
hadjar,866,True
hamilton,1,False
hulkenberg,807,False
kevin_magnussen,825,False
lawson,859,False
leclerc,844,False
max_verstappen,830,False
norris,846,False
ocon,839,False
perez,815,False
piastri,857,False
ricciardo,817,False
russell,847,False
sainz,832,False
sargeant,858,False
stroll,840,False
tsunoda,852,False
zhou,855,False
